review_id,product_id,customer_id,rating,review_text,review_date,verified_purchase,helpful_votes,has_review_text
REV-5000,PROD-101,CUST-1122,2.0,Customer service was unhelpful.,2023-11-13,True,0,True
REV-5001,PROD-138,CUST-1110,5.0,"Five stars, absolutely amazing!",2023-08-27,True,8,True
REV-5002,PROD-108,CUST-1175,3.0,"Great product, exactly what I needed!",2023-11-10,False,18,True
REV-5003,PROD-102,CUST-1157,2.0,Best purchase I've made this year.,2023-06-18,False,49,True
REV-5004,PROD-140,CUST-1151,4.0,Stopped working after a month.,2024-08-27,False,11,True
REV-5005,PROD-115,CUST-1000,3.0,"Arrived damaged, had to return.",2024-08-18,True,50,True
REV-5006,PROD-132,CUST-1188,1.0,"Arrived damaged, had to return.",2023-06-28,False,25,True
REV-5007,PROD-117,CUST-1132,1.0,Stopped working after a month.,2023-06-14,False,37,True
REV-5008,PROD-101,CUST-1104,1.0,Would not recommend to anyone.,2023-07-14,True,14,True
REV-5009,PROD-121,CUST-1125,1.0,Best purchase I've made this year.,2024-03-09,True,12,True
REV-5011,PROD-107,CUST-1171,5.0,Exceeded my expectations!,2023-12-21,False,28,True
REV-5012,PROD-116,CUST-1134,4.0,"Fast shipping, item works perfectly.",2023-08-05,False,0,True
REV-5013,PROD-103,CUST-1193,3.0,,2023-06-26,False,0,False
REV-5014,PROD-137,CUST-1060,3.7,"Arrived damaged, had to return.",2025-01-20,False,36,True
REV-5016,PROD-137,CUST-1126,3.0,Good value for money.,2024-11-23,False,28,True
REV-5017,PROD-143,CUST-1097,1.0,"Fast shipping, item works perfectly.",2024-07-25,False,3,True
REV-5018,PROD-131,CUST-1046,4.0,Love this! Will buy again.,2024-08-21,False,37,True
REV-5019,PROD-136,CUST-1042,1.0,"Fast shipping, item works perfectly.",2024-02-26,True,3,True
REV-5020,PROD-132,CUST-1040,4.0,"Great product, exactly what I needed!",2023-07-27,True,0,True
REV-5021,PROD-134,CUST-1199,1.0,"Fast shipping, item works perfectly.",2024-10-29,False,0,True
REV-5022,PROD-128,CUST-1007,1.0,Good value for money.,2024-11-02,True,16,True
REV-5023,PROD-119,CUST-1115,5.0,Stopped working after a month.,2023-10-02,True,14,True
REV-5024,PROD-136,CUST-1006,4.0,"Terrible quality, broke after a week.",2023-08-03,True,30,True
REV-5025,PROD-142,CUST-1152,1.0,Good value for money.,2024-04-02,True,31,True
REV-5026,PROD-143,CUST-1038,5.0,Best purchase I've made this year.,2024-10-29,False,42,True
REV-5028,PROD-135,CUST-1057,2.0,Best purchase I've made this year.,2024-12-23,False,29,True
REV-5029,PROD-137,CUST-1156,4.0,"Arrived damaged, had to return.",2024-03-16,False,39,True
REV-5030,PROD-127,CUST-1143,1.0,Best purchase I've made this year.,2023-11-04,True,22,True
REV-5031,PROD-137,CUST-1146,2.0,Would not recommend to anyone.,2024-10-27,True,34,True
REV-5032,PROD-144,CUST-1035,5.0,Best purchase I've made this year.,2024-08-20,False,48,True
REV-5033,PROD-133,CUST-1159,4.0,Good value for money.,2023-06-23,True,0,True
REV-5034,PROD-107,CUST-1052,5.0,"Not as described, very disappointed.",2023-11-15,False,46,True
REV-5035,PROD-126,CUST-1082,1.0,"Not as described, very disappointed.",2024-02-16,True,44,True
REV-5036,PROD-101,CUST-1031,2.0,Waste of money.,2024-02-24,False,12,True
REV-5037,PROD-144,CUST-1193,3.0,Good value for money.,2024-09-24,True,16,True
REV-5038,PROD-138,CUST-1186,5.0,,2024-12-06,True,35,False
REV-5039,PROD-109,CUST-1057,1.0,"Two stars at best, poor quality.",2023-09-16,True,40,True
REV-5040,PROD-124,CUST-1178,3.0,Best purchase I've made this year.,2024-02-10,False,19,True
REV-5041,PROD-132,CUST-1080,4.0,"Terrible quality, broke after a week.",2024-02-23,False,8,True
REV-5042,PROD-146,CUST-1092,5.0,Best purchase I've made this year.,2024-10-02,True,4,True
REV-5044,PROD-141,CUST-1066,2.0,"Two stars at best, poor quality.",2025-01-14,True,0,True
REV-5045,PROD-103,CUST-1148,1.0,"Terrible quality, broke after a week.",2024-11-25,True,24,True
REV-5046,PROD-143,CUST-1105,3.0,,2024-10-22,True,0,False
REV-5047,PROD-119,CUST-1146,3.0,The color was different from the picture.,2023-06-30,False,12,True
REV-5048,PROD-132,CUST-1062,5.0,Stopped working after a month.,2023-10-12,True,24,True
REV-5049,PROD-108,CUST-1154,2.0,Would not recommend to anyone.,2024-05-08,True,0,True
REV-5051,PROD-139,CUST-1023,1.0,Love this! Will buy again.,2023-09-11,True,33,True
REV-5052,PROD-140,CUST-1003,4.0,"Five stars, absolutely amazing!",2024-12-01,True,30,True
REV-5053,PROD-145,CUST-1113,4.0,"Great product, exactly what I needed!",2024-06-01,True,45,True
REV-5054,PROD-126,CUST-1042,3.0,,2023-09-22,True,47,False
REV-5055,PROD-148,CUST-1012,4.0,Stopped working after a month.,2024-11-27,True,16,True
REV-5056,PROD-132,CUST-1083,2.0,Stopped working after a month.,2024-10-28,True,0,True
REV-5057,PROD-143,CUST-1050,4.0,Good value for money.,2023-10-28,False,12,True
REV-5058,PROD-109,CUST-1174,4.0,Good value for money.,2024-10-16,False,49,True
REV-5059,PROD-125,CUST-1043,2.0,,2024-10-14,True,43,False
REV-5060,PROD-110,CUST-1015,1.0,Good value for money.,2024-12-07,False,15,True
REV-5061,PROD-102,CUST-1083,3.0,Love this! Will buy again.,2024-01-22,True,14,True
REV-5062,PROD-121,CUST-1131,2.0,,2023-09-15,True,32,False
REV-5064,PROD-134,CUST-1115,2.0,"Arrived damaged, had to return.",2024-01-09,False,0,True
REV-5065,PROD-143,CUST-1131,3.0,"Arrived damaged, had to return.",2024-10-27,True,36,True
REV-5066,PROD-137,CUST-1078,4.0,Easy to use and very durable.,2023-08-02,False,8,True
REV-5068,PROD-145,CUST-1151,3.0,Love this! Will buy again.,2024-01-18,False,50,True
REV-5069,PROD-106,CUST-1040,2.0,"Five stars, absolutely amazing!",2024-07-06,False,33,True
REV-5070,PROD-132,CUST-1029,1.0,,2023-07-16,False,0,False
REV-5071,PROD-101,CUST-1130,1.0,"Two stars at best, poor quality.",2023-07-01,True,43,True
REV-5076,PROD-117,CUST-1176,3.0,,2023-06-21,True,42,False
REV-5077,PROD-124,CUST-1094,4.0,Good value for money.,2024-07-07,False,14,True
REV-5079,PROD-149,CUST-1096,5.0,"Five stars, absolutely amazing!",2023-10-23,False,10,True
