product_id,product_name,category,unit_price,units_sold,total_revenue,order_count,avg_rating,review_count,revenue_rank_in_category,performance_tier
PROD-100,Wireless Bluetooth Headphones,clothing,11.13,89,9231.68,19,2.95,10,7,Bottom 25%
PROD-101,Usb-C Fast Charger,clothing,170.79,99,10869.46,17,2.36,14,5,Lower Mid
PROD-102,Laptop Stand Adjustable,toys,12.79,97,12559.15,16,3.0,8,3,Lower Mid
PROD-103,Mechanical Keyboard Rgb,electronics,142.51,86,11468.91,18,2.5,10,2,Lower Mid
PROD-104,Portable Power Bank 20000Mah,toys,59.01,107,13165.6,20,2.87,11,2,Upper Mid
PROD-106,Noise Cancelling Earbuds,sports,43.09,123,10999.4,21,3.66,8,4,Lower Mid
PROD-107,4K Webcam Hd,uncategorized,98.08,94,9591.66,17,3.5,12,2,Bottom 25%
PROD-108,External Ssd 1Tb,sports,202.75,113,12762.63,23,2.67,15,3,Upper Mid
PROD-109,Monitor Arm Mount,toys,24.31,129,13760.32,22,2.55,15,1,Upper Mid
PROD-110,Cotton Crew Neck T-Shirt,beauty,146.45,105,14041.86,18,2.89,9,3,Upper Mid
PROD-111,Slim Fit Jeans,books,194.4,151,19240.93,27,2.8,13,3,Top 25%
PROD-113,Winter Puffer Jacket,beauty,92.04,98,15119.3,14,2.89,9,2,Upper Mid
PROD-114,Wool Blend Scarf,clothing,154.24,94,11761.56,17,3.0,11,4,Lower Mid
PROD-115,Leather Belt Classic,home & kitchen,118.25,115,15347.22,23,2.93,14,2,Top 25%
PROD-116,Hiking Backpack 40L,books,172.73,114,11497.51,19,3.1,10,9,Lower Mid
PROD-117,Yoga Pants High Waist,books,206.34,115,15115.06,22,2.9,10,7,Upper Mid
PROD-119,Silk Tie Collection,books,165.58,123,18513.98,23,3.78,9,4,Top 25%
PROD-120,Stainless Steel Water Bottle,grocery,40.0,72,10134.65,14,3.5,4,3,Bottom 25%
PROD-121,Non-Stick Frying Pan Set,sports,188.02,48,7081.58,13,2.22,9,7,Bottom 25%
PROD-122,Bamboo Cutting Board,uncategorized,58.73,98,11140.41,15,3.57,7,1,Lower Mid
PROD-123,French Press Coffee Maker,electronics,215.97,64,9050.73,13,2.57,7,4,Bottom 25%
PROD-124,Ceramic Dinner Plate Set,toys,151.12,94,10860.51,17,3.42,12,4,Lower Mid
PROD-125,Kitchen Scale Digital,sports,242.91,120,18373.19,18,3.0,12,1,Top 25%
PROD-126,Air Fryer 5.5L,clothing,172.02,101,10583.96,21,3.42,12,6,Bottom 25%
PROD-127,Vacuum Insulated Mug,beauty,32.33,135,14028.14,25,3.0,5,4,Upper Mid
PROD-128,Knife Block Set 14Pc,sports,243.11,120,14121.49,19,2.73,11,2,Upper Mid
PROD-129,Silicone Spatula Set,sports,211.21,57,8048.04,13,2.81,11,6,Bottom 25%
PROD-131,Data Science Handbook,electronics,151.74,87,10289.78,21,2.88,8,3,Bottom 25%
PROD-132,Clean Code,sports,63.67,94,10040.15,14,3.17,12,5,Bottom 25%
PROD-133,The Pragmatic Programmer,clothing,184.32,103,8813.05,17,2.67,3,8,Bottom 25%
PROD-134,Atomic Habits,home & kitchen,36.46,139,14432.77,26,2.5,8,3,Upper Mid
PROD-135,Deep Work,uncategorized,134.28,62,7779.2,12,1.51,8,3,Bottom 25%
PROD-136,Thinking Fast And Slow,books,179.67,111,14431.72,20,2.82,11,8,Upper Mid
PROD-137,The Art Of War,beauty,112.33,135,19445.2,28,2.59,12,1,Top 25%
PROD-138,Yoga Mat Premium,books,20.69,157,17572.44,28,3.08,13,6,Top 25%
PROD-139,Resistance Bands Set,books,6.76,192,21419.06,34,3.5,8,1,Top 25%
PROD-140,Jump Rope Speed,clothing,226.83,123,15224.53,22,2.99,10,1,Top 25%
PROD-141,Foam Roller,books,73.23,150,18084.64,27,2.75,8,5,Top 25%
PROD-142,Vitamin C Serum,grocery,64.53,91,11500.18,17,3.0,4,2,Lower Mid
PROD-143,Moisturizing Face Cream,clothing,28.75,108,12195.45,19,3.4,10,2,Lower Mid
PROD-144,Sunscreen Spf 50,grocery,216.64,118,13197.54,25,3.36,14,1,Upper Mid
PROD-145,Hair Dryer Ionic,clothing,19.85,113,11892.17,21,3.55,11,3,Lower Mid
PROD-146,Building Blocks 500Pc,books,51.94,128,20119.48,24,2.75,8,2,Top 25%
PROD-147,Remote Control Car,home & kitchen,73.24,144,18409.3,24,3.43,7,1,Top 25%
PROD-148,Board Game Strategy,grocery,202.97,74,8097.3,15,3.06,17,4,Bottom 25%
PROD-149,Puzzle 1000Pc,electronics,242.4,114,15691.43,21,3.56,5,1,Top 25%
